alphabet,sample_file,left_hand_0_x,left_hand_0_y,left_hand_0_confidence,left_hand_1_x,left_hand_1_y,left_hand_1_confidence,left_hand_2_x,left_hand_2_y,left_hand_2_confidence,left_hand_3_x,left_hand_3_y,left_hand_3_confidence,left_hand_4_x,left_hand_4_y,left_hand_4_confidence,left_hand_5_x,left_hand_5_y,left_hand_5_confidence,left_hand_6_x,left_hand_6_y,left_hand_6_confidence,left_hand_7_x,left_hand_7_y,left_hand_7_confidence,left_hand_8_x,left_hand_8_y,left_hand_8_confidence,left_hand_9_x,left_hand_9_y,left_hand_9_confidence,left_hand_10_x,left_hand_10_y,left_hand_10_confidence,left_hand_11_x,left_hand_11_y,left_hand_11_confidence,left_hand_12_x,left_hand_12_y,left_hand_12_confidence,left_hand_13_x,left_hand_13_y,left_hand_13_confidence,left_hand_14_x,left_hand_14_y,left_hand_14_confidence,left_hand_15_x,left_hand_15_y,left_hand_15_confidence,left_hand_16_x,left_hand_16_y,left_hand_16_confidence,left_hand_17_x,left_hand_17_y,left_hand_17_confidence,left_hand_18_x,left_hand_18_y,left_hand_18_confidence,left_hand_19_x,left_hand_19_y,left_hand_19_confidence,left_hand_20_x,left_hand_20_y,left_hand_20_confidence,right_hand_0_x,right_hand_0_y,right_hand_0_confidence,right_hand_1_x,right_hand_1_y,right_hand_1_confidence,right_hand_2_x,right_hand_2_y,right_hand_2_confidence,right_hand_3_x,right_hand_3_y,right_hand_3_confidence,right_hand_4_x,right_hand_4_y,right_hand_4_confidence,right_hand_5_x,right_hand_5_y,right_hand_5_confidence,right_hand_6_x,right_hand_6_y,right_hand_6_confidence,right_hand_7_x,right_hand_7_y,right_hand_7_confidence,right_hand_8_x,right_hand_8_y,right_hand_8_confidence,right_hand_9_x,right_hand_9_y,right_hand_9_confidence,right_hand_10_x,right_hand_10_y,right_hand_10_confidence,right_hand_11_x,right_hand_11_y,right_hand_11_confidence,right_hand_12_x,right_hand_12_y,right_hand_12_confidence,right_hand_13_x,right_hand_13_y,right_hand_13_confidence,right_hand_14_x,right_hand_14_y,right_hand_14_confidence,right_hand_15_x,right_hand_15_y,right_hand_15_confidence,right_hand_16_x,right_hand_16_y,right_hand_16_confidence,right_hand_17_x,right_hand_17_y,right_hand_17_confidence,right_hand_18_x,right_hand_18_y,right_hand_18_confidence,right_hand_19_x,right_hand_19_y,right_hand_19_confidence,right_hand_20_x,right_hand_20_y,right_hand_20_confidence
daal,daal_036.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,532.045,295.798,0.689285,566.006,277.175,0.697229,602.157,257.456,0.846776,620.781,239.928,0.770902,625.163,233.355,0.668046,583.534,204.872,0.49329,594.489,173.102,0.870999,612.017,180.771,0.863547,628.449,195.012,0.816026,561.624,205.967,0.60133,585.725,202.681,0.666631,592.298,225.686,0.632448,584.629,239.928,0.561847,546.287,210.349,0.692516,567.101,213.636,0.627735,571.483,233.355,0.876138,562.719,243.214,0.555928,530.95,216.922,0.823172,544.096,223.495,0.431812,547.382,238.832,0.537389,545.191,242.119,0.564
daal,daal_020.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541.456,295.683,0.637389,575.593,281.815,0.750458,610.797,257.279,0.786254,631.066,235.944,0.755283,628.932,232.743,0.587138,589.461,203.94,0.488321,601.196,174.071,0.866564,620.398,181.538,0.850622,636.4,191.139,0.813615,568.126,205.007,0.596872,593.728,200.74,0.700896,600.129,225.276,0.678026,593.728,237.01,0.493977,551.057,209.274,0.683482,575.593,212.475,0.551302,577.727,232.743,0.809623,568.126,241.278,0.534248,537.189,216.742,0.787271,554.258,224.209,0.415459,557.458,239.144,0.543599,552.124,243.411,0.496986
daal,daal_016.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,561.74,291.524,0.662038,597.051,279.386,0.764268,633.466,254.006,0.799944,651.121,233.04,0.797845,646.708,225.316,0.551839,613.603,202.143,0.463414,622.431,169.039,0.789948,641.19,170.142,0.828085,658.846,177.866,0.692413,595.948,205.453,0.605657,619.121,195.522,0.614988,624.638,215.384,0.411205,623.535,226.419,0.337771,579.396,208.764,0.682717,601.465,209.867,0.578865,604.776,224.212,0.629069,598.155,229.729,0.451757,562.844,213.177,0.674401,572.775,218.695,0.457979,579.396,229.729,0.576839,579.396,235.247,0.545233
daal,daal_041.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.705,281.129,0.692624,579.172,268.232,0.773201,613.564,247.811,0.858384,629.685,231.69,0.836789,636.134,224.167,0.683517,594.219,196.223,0.552455,604.966,169.354,0.868681,623.237,176.878,0.840313,638.284,186.55,0.776811,571.649,197.298,0.631204,597.443,195.148,0.728418,599.592,216.643,0.60546,596.368,227.391,0.496294,553.378,203.746,0.730673,578.097,204.821,0.513158,578.097,224.167,0.814517,571.649,231.69,0.520549,537.257,211.27,0.737295,549.079,214.494,0.435262,553.378,228.466,0.480077,553.378,234.914,0.446174
daal,daal_040.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,542.282,288.668,0.644521,575.605,277.919,0.678111,612.153,253.195,0.7852,629.352,234.921,0.798025,636.877,226.322,0.787578,592.804,199.449,0.495527,603.554,171.5,0.877603,620.753,176.875,0.897883,636.877,187.624,0.76904,571.306,201.598,0.605982,591.729,199.449,0.592961,601.404,218.797,0.300635,604.629,234.921,0.314066,553.032,209.123,0.613746,571.306,215.573,0.584287,574.53,229.547,0.546863,571.306,238.146,0.220124,536.908,216.648,0.601413,543.357,218.797,0.396872,551.957,232.772,0.402449,551.957,237.071,0.286765
daal,daal_017.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,556.378,283.348,0.627594,590.362,271.289,0.768314,626.539,246.075,0.76816,644.079,227.439,0.755037,647.368,220.861,0.546031,606.806,193.455,0.572751,616.672,162.759,0.82404,635.309,166.048,0.856881,651.753,174.818,0.777047,585.977,196.743,0.596146,611.191,192.358,0.688705,616.672,216.476,0.658478,616.672,228.535,0.429188,568.437,201.128,0.661487,591.458,205.513,0.634592,590.362,224.15,0.767468,583.785,234.016,0.44989,553.089,208.802,0.726166,561.859,216.476,0.493726,565.148,227.439,0.546601,566.244,235.113,0.52768
daal,daal_001.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.415,286.62,0.660217,583.732,275.873,0.730064,620.273,251.154,0.750769,639.618,231.809,0.801991,641.768,225.361,0.717675,597.704,197.417,0.555367,611.675,168.4,0.808217,631.02,172.699,0.896291,648.216,186.67,0.799153,577.284,197.417,0.716186,606.301,195.268,0.776802,610.6,221.062,0.559516,604.152,230.734,0.459009,562.237,203.866,0.810116,590.18,206.015,0.686881,590.18,228.585,0.841671,580.508,236.108,0.619188,547.191,211.389,0.895487,571.91,221.062,0.549933,571.91,235.033,0.727967,563.312,240.407,0.648926
daal,daal_021.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,537.78,294.712,0.666044,570.677,281.554,0.68627,607.961,258.525,0.79387,627.699,236.594,0.710021,630.989,231.111,0.6865,587.126,203.697,0.456154,599.188,171.896,0.881497,617.83,180.669,0.898376,633.182,190.538,0.799899,563.001,199.31,0.7363,593.705,200.407,0.736949,598.092,223.435,0.534565,594.802,233.304,0.356802,549.842,206.986,0.763059,578.353,214.662,0.713718,577.257,232.208,0.802553,568.484,239.884,0.522271,535.587,215.759,0.889687,558.615,224.532,0.413698,560.808,238.787,0.6265,552.035,240.98,0.531379
daal,daal_037.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,543.883,284.533,0.643725,576.775,272.473,0.702613,612.957,248.352,0.784487,630.499,230.809,0.76051,631.595,229.713,0.522018,588.836,197.917,0.577561,603.089,169.411,0.828821,622.824,177.086,0.895456,638.174,186.953,0.82742,568.004,197.917,0.682653,594.318,196.821,0.689216,597.607,223.135,0.776659,591.028,233.002,0.458497,552.654,204.496,0.805023,575.679,211.074,0.649164,576.775,229.713,0.875206,569.1,236.291,0.580588,536.208,212.171,0.892163,552.654,218.749,0.445237,555.943,233.002,0.640093,551.558,238.484,0.698357
daal,daal_051.json,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,539.767,290.357,0.538401,575.626,272.428,0.737448,612.539,248.17,0.750369,631.523,231.296,0.83314,618.867,231.296,0.54188,591.446,197.546,0.576519,603.047,169.07,0.872962,622.031,174.343,0.880886,637.851,186.999,0.780144,568.243,198.601,0.708346,595.664,196.492,0.667628,601.992,221.804,0.626006,599.883,233.405,0.403529,551.368,204.929,0.778457,574.571,207.038,0.717345,576.68,227.077,0.802785,568.243,237.624,0.505795,535.548,213.366,0.730069,546.095,219.694,0.495244,550.314,232.35,0.546292,550.314,238.678,0.536115
